event_date,weight_class,fighter1,fighter2,outcome
2023-03-25,Welterweight,Trevin Giles,Preston Parsons,fighter1
2023-03-25,Flyweight,CJ Vergara,Daniel Lacerda,fighter1
2023-03-25,Flyweight,Victor Altamirano,Vinicius Salvador,fighter1
2023-03-18,Welterweight,Leon Edwards,Kamaru Usman,fighter1
2023-03-18,Lightweight,Justin Gaethje,Rafael Fiziev,fighter1
2023-03-18,Welterweight,Gunnar Nelson,Bryan Barberena,fighter1
2023-03-18,Women's Flyweight,Jennifer Maia,Casey O'Neill,fighter1
2023-03-18,Middleweight,Marvin Vettori,Roman Dolidze,fighter1
2023-03-18,Featherweight,Jack Shore,Makwan Amirkhani,fighter1
2023-03-18,Lightweight,Chris Duncan,Omar Morales,fighter1
2023-03-18,Lightweight,Yanal Ashmouz,Sam Patterson,fighter1
2023-03-18,Flyweight,Muhammad Mokaev,Jafel Filho,fighter1
2023-03-18,Featherweight,Lerone Murphy,Gabriel Santos,fighter1
2023-03-18,Middleweight,Christian Leroy Duncan,Dusko Todorovic,fighter1
2023-03-18,Flyweight,Jake Hadley,Malcolm Gordon,fighter1
2023-03-18,Women's Flyweight,Joanne Wood,Luana Carolina,fighter1
2023-03-18,Lightweight,Jai Herbert,Ludovit Klein,Draw
2023-03-18,Women's Flyweight,Veronica Hardy,Juliana Miller,fighter1
2023-03-11,Bantamweight,Merab Dvalishvili,Petr Yan,fighter1
2023-03-11,Heavyweight,Alexander Volkov,Alexandr Romanov,fighter1
2023-03-11,Catch Weight,Nikita Krylov,Ryan Spann,fighter1
2023-03-11,Bantamweight,Jonathan Martinez,Said Nurmagomedov,fighter1
2023-03-11,Bantamweight,Mario Bautista,Guido Cannetti,fighter1
2023-03-11,Light Heavyweight,Vitor Petrino,Anton Turkalj,fighter1
2023-03-11,Heavyweight,Karl Williams,Lukasz Brzeski,fighter1
2023-03-11,Bantamweight,Davey Grant,Raphael Assuncao,fighter1
2023-03-11,Middleweight,Josh Fremd,Sedriques Dumas,fighter1
2023-03-11,Bantamweight,Victor Henry,Tony Gravely,fighter1
2023-03-11,Women's Flyweight,Ariane Lipski,JJ Aldrich,fighter1
2023-03-11,Flyweight,Bruno Silva,Tyson Nam,fighter1
2023-03-11,Welterweight,Carlston Harris,Jared Gooden,fighter1
2023-03-04,Heavyweight,Jon Jones,Ciryl Gane,fighter1
2023-03-04,Women's Flyweight,Alexa Grasso,Valentina Shevchenko,fighter1
2023-03-04,Welterweight,Shavkat Rakhmonov,Geoff Neal,fighter1
2023-03-04,Lightweight,Mateusz Gamrot,Jalin Turner,fighter1
2023-03-04,Middleweight,Bo Nickal,Jamie Pickett,fighter1
2023-03-04,Bantamweight,Cody Garbrandt,Trevin Jones,fighter1
2023-03-04,Middleweight,Dricus Du Plessis,Derek Brunson,fighter1
2023-03-04,Women's Flyweight,Amanda Ribas,Viviane Araujo,fighter1
2023-03-04,Middleweight,Marc-Andre Barriault,Julian Marquez,fighter1
2023-03-04,Welterweight,Ian Garry,Song Kenan,fighter1
2023-03-04,Bantamweight,Cameron Saaiman,Mana Martinez,fighter1
2023-03-04,Women's Strawweight,Tabatha Ricci,Jessica Penne,fighter1
2023-03-04,Bantamweight,Farid Basharat,Da'Mon Blackshear,fighter1
2023-03-04,Lightweight,Loik Radzhabov,Esteban Ribovics,fighter1
2023-02-25,Middleweight,Brendan Allen,Andre Muniz,fighter1
2023-02-25,Heavyweight,Augusto Sakai,Don'Tale Mayes,fighter1
2023-02-25,Women's Flyweight,Tatiana Suarez,Montana De La Rosa,fighter1
2023-02-25,Welterweight,Mike Malott,Yohan Lainesse,fighter1
2023-02-25,Lightweight,Trevor Peek,Erick Gonzalez,fighter1
2023-02-25,Women's Flyweight,Jasmine Jasudavicius,Gabriella Fernandes,fighter1
2023-02-25,Lightweight,Jordan Leavitt,Victor Martinez,fighter1
2023-02-25,Catch Weight,Ode Osbourne,Charles Johnson,fighter1
2023-02-25,Lightweight,Joe Solecki,Carl Deaton,fighter1
2023-02-25,Lightweight,Nurullo Aliev,Rafael Alves,fighter1
2023-02-18,Women's Flyweight,Erin Blanchfield,Jessica Andrade,fighter1
2023-02-18,Light Heavyweight,Zac Pauga,Jordan Wright,fighter1
2023-02-18,Heavyweight,Jamal Pogues,Josh Parisian,fighter1
2023-02-18,Light Heavyweight,Marcin Prachnio,William Knight,fighter1
2023-02-18,Lightweight,Alexander Hernandez,Jim Miller,fighter1
2023-02-18,Lightweight,Nazim Sadykhov,Evan Elder,fighter1
2023-02-18,Women's Bantamweight,Mayra Bueno Silva,Lina Lansberg,fighter1
2023-02-18,Featherweight,Jamall Emmers,Khusein Askhabov,fighter1
2023-02-18,Light Heavyweight,Philipe Lins,Ovince Saint Preux,fighter1
2023-02-18,Welterweight,AJ Fletcher,Themba Gorimbo,fighter1
2023-02-18,Flyweight,Clayton Carpenter,Juancamilo Ronderos,fighter1
2023-02-11,Lightweight,Islam Makhachev,Alexander Volkanovski,fighter1
2023-02-11,Featherweight,Yair Rodriguez,Josh Emmett,fighter1
2023-02-11,Welterweight,Jack Della Maddalena,Randy Brown,fighter1
2023-02-11,Heavyweight,Justin Tafa,Parker Porter,fighter1
2023-02-11,Light Heavyweight,Jimmy Crute,Alonzo Menifield,Draw
2023-02-11,Light Heavyweight,Modestas Bukauskas,Tyson Pedro,fighter1
2023-02-11,Featherweight,Josh Culibao,Melsik Baghdasaryan,fighter1
2023-02-11,Flyweight,Kleydson Rodrigues,Shannon Ross,fighter1
2023-02-11,Lightweight,Jamie Mullarkey,Francisco Prado,fighter1
2023-02-11,Featherweight,Jack Jenkins,Don Shainis,fighter1
2023-02-11,Women's Strawweight,Loma Lookboonmee,Elise Reed,fighter1
2023-02-11,Featherweight,Blake Bilder,Shane Young,fighter1
2023-02-11,Lightweight,Elves Brener,Zubaira Tukhugov,fighter1
2023-02-04,Heavyweight,Serghei Spivac,Derrick Lewis,fighter1
2023-02-04,Light Heavyweight,Devin Clark,Da Woon Jung,fighter1
2023-02-04,Heavyweight,Marcin Tybura,Blagoy Ivanov,fighter1
2023-02-04,Featherweight,Dooho Choi,Kyle Nelson,Draw
2023-02-04,Welterweight,Adam Fugitt,Yusaku Kinoshita,fighter1
2023-02-04,Lightweight,Anshul Jubli,Jeka Saragih,fighter1
2023-02-04,Featherweight,JeongYeong Lee, Yizha,fighter1
